Date,Sector,Universe Gross Sales EUR M,Universe Net Sales EUR M
01/02/2010,Sector_83,11.92128395,4.4189024
01/02/2010,Sector_84,998.8722244,-226.8609584
01/02/2010,Sector_85,43.7532062,-25.03085082
01/02/2010,Sector_86,59.23005511,34.18935776
01/02/2010,Sector_87,243.5335238,-15.42414927
01/02/2010,Sector_89,7.83596279,-3.54148537
01/02/2010,Sector_91,34.62391371,34.1095817
01/02/2010,Sector_92,3.55102416,-1.8589944
01/02/2010,Sector_93,103.1818162,18.04851661
01/02/2010,Sector_94,0.8619435,0.07677647
01/02/2010,Sector_95,933.6969678,227.2233608
01/02/2010,Sector_96,167.2723622,127.7245975
01/02/2010,Sector_97,50.4566514,25.06651333
01/02/2010,Sector_98,0.67594875,-0.67241348
01/02/2010,Sector_99,268.2542928,88.85461225
01/02/2010,Sector_101,21.15579919,13.48960784
01/02/2010,Sector_102,254.8218018,-72.21367429
01/02/2010,Sector_103,0.00697636,0.00697636
01/02/2010,Sector_104,39.23737222,13.98218992
01/02/2010,Sector_105,19.23294237,-12.95326005
01/02/2010,Sector_106,1.56691389,0.35795553
01/02/2010,Sector_107,611.9939798,224.4402644
01/02/2010,Sector_109,31.86900501,-2.86134886
01/02/2010,Sector_110,54.59349427,17.12319796
01/02/2010,Sector_111,535.2894356,-5.13303467
01/02/2010,Sector_112,10.21872504,-1.12950836
01/02/2010,Sector_113,3.65880372,-1.04285003
01/02/2010,Sector_115,1.44430235,-0.01431761
01/02/2010,Sector_116,13.46714112,6.18502635
01/02/2010,Sector_117,2.59894566,3.56058248
01/02/2010,Sector_118,1472.004978,274.7308471
01/02/2010,Sector_119,157.5844477,63.43073641
01/02/2010,Sector_120,1.65114995,0.51969541
01/02/2010,Sector_121,8.32375295,-48.05614218
01/02/2010,Sector_122,888.025091,245.0341959
01/02/2010,Sector_123,40.52079261,10.77744799
01/02/2010,Sector_124,77.88706447,6.05353927
01/02/2010,Sector_125,0.02684349,-0.00067862
01/02/2010,Sector_128,265.7893318,145.9352148
01/02/2010,Sector_129,8.01068404,-17.1221134
01/02/2010,Sector_132,4.68938894,-14.08218645
01/02/2010,Sector_133,0.07316209,-0.09914061
01/02/2010,Sector_135,51.78828233,-6.06294784
01/02/2010,Sector_136,47.06199352,11.15936638
01/02/2010,Sector_137,57.37887705,31.7636202
01/02/2010,Sector_138,8.30740555,-8.42190545
01/02/2010,Sector_139,115.0622593,60.98141707
01/02/2010,Sector_140,68.87897437,16.387137
01/02/2010,Sector_141,36.61538983,33.63512297
01/02/2010,Sector_142,6.64898933,4.1391517
01/02/2010,Sector_143,25.77021954,-7.52138772
01/02/2010,Sector_144,5.78502971,5.50825372
01/02/2010,Sector_145,62.01872795,-5.47627155
01/02/2010,Sector_146,123.2370201,10.98790813
01/02/2010,Sector_147,17.87170442,6.39532521
01/02/2010,Sector_148,24.4068118,-6.08244396
01/02/2010,Sector_149,50.23736486,-40.67085256
01/02/2010,Sector_150,64.01083968,37.38716758
01/02/2010,Sector_151,217.8631076,-95.77515954
01/02/2010,Sector_152,1019.081973,141.6808299
01/02/2010,Sector_153,93.30500444,-12.52451835
01/02/2010,Sector_154,135.0116711,-55.76223215
01/02/2010,Sector_155,0.0936661,-0.07268145
